"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.083869280E-1,4.655120671E-1,-4.461825490E-1,-5.890707374E-1,8.733754549E-1
8.108319280E-1,4.496295750E-1,-4.474042952E-1,-5.744099617E-1,8.557360354E-1
8.132776570E-1,4.392448962E-1,-4.516803324E-1,-5.640252829E-1,8.456215000E-1
8.157226570E-1,4.313036501E-1,-4.565672576E-1,-5.518079996E-1,8.360434007E-1
8.181668240E-1,4.245841205E-1,-4.614541829E-1,-5.408124328E-1,8.280638416E-1
8.206117720E-1,4.196972251E-1,-4.645085037E-1,-5.304276943E-1,8.205287622E-1
8.230575530E-1,4.117559791E-1,-4.638976157E-1,-5.188212991E-1,8.086529073E-1
8.255025010E-1,4.013712704E-1,-4.559563994E-1,-5.053822398E-1,7.901938643E-1
8.279466670E-1,3.897648454E-1,-4.461825490E-1,-4.919432700E-1,7.700673234E-1
8.303916150E-1,3.763258159E-1,-4.351869822E-1,-4.791150987E-1,7.487056210E-1
8.328373970E-1,3.653302491E-1,-4.290783405E-1,-4.662869573E-1,7.314355335E-1
8.352823450E-1,3.543346822E-1,-4.315218031E-1,-4.534587860E-1,7.192975770E-1
