"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.035200680E-1,7.084880352E0,-3.264665127E0,-6.773550510E0,1.033124167E1
6.059242340E-1,7.022633553E0,-3.281423807E0,-6.634693146E0,1.020315036E1
6.083279320E-1,6.948416710E0,-3.281423807E0,-6.261213779E0,9.912166008E0
6.107313180E-1,6.957993031E0,-3.255088806E0,-7.750343323E0,1.091224504E1
6.131353800E-1,6.771253109E0,-3.353246927E0,-6.124749660E0,9.726597145E0
6.155394430E-1,6.732947826E0,-3.307759047E0,-7.501356602E0,1.060868546E1
6.179437660E-1,6.541419506E0,-3.384370089E0,-6.912408352E0,1.010076825E1
6.203480880E-1,6.412138462E0,-3.403522730E0,-6.651451588E0,9.845877048E0
6.227520470E-1,6.239763260E0,-3.408311129E0,-8.004117012E0,1.070593851E1
6.251566300E-1,6.014718056E0,-3.484922409E0,-6.493441105E0,9.512428442E0
6.275607450E-1,5.923742294E0,-3.451404810E0,-8.138187408E0,1.064110014E1
6.299644430E-1,5.703485012E0,-3.539986610E0,-7.446292400E0,1.002539361E1
6.323685570E-1,5.593356609E0,-3.539986610E0,-7.400804520E0,9.929201927E0
6.347728280E-1,5.523927689E0,-3.561533213E0,-8.549972534E0,1.078426290E1
6.371776200E-1,5.399434566E0,-3.645326853E0,-7.029719353E0,9.584323434E0
6.395820470E-1,5.392252445E0,-3.604627371E0,-8.686434746E0,1.084084284E1
6.419860570E-1,5.286911964E0,-3.693208933E0,-7.695278645E0,1.004034580E1
6.443908490E-1,5.325217724E0,-3.662085533E0,-7.853289127E0,1.017069144E1
6.467949630E-1,5.279729843E0,-3.697997093E0,-8.772623062E0,1.088621353E1
6.491987130E-1,5.234241962E0,-3.705179214E0,-7.331375599E0,9.740364988E0
6.516033490E-1,5.277335644E0,-3.650115013E0,-8.971333504E0,1.102988830E1
6.540078280E-1,5.217483044E0,-3.712361574E0,-7.805407047E0,1.009594656E1
6.564125160E-1,5.246212482E0,-3.642932892E0,-8.099881172E0,1.031512387E1
6.588164740E-1,5.248606682E0,-3.630962372E0,-8.722347260E0,1.080791847E1
6.612197550E-1,5.236636162E0,-3.630962372E0,-7.254764557E0,9.655975083E0
6.636239220E-1,5.294094086E0,-3.544774771E0,-8.832474709E0,1.089061384E1
6.660277240E-1,5.222271442E0,-3.549562931E0,-7.439110279E0,9.757657391E0
6.684310570E-1,5.246212482E0,-3.492104530E0,-7.800619125E0,1.002831981E1
6.708343910E-1,5.219877243E0,-3.429857969E0,-8.147763252E0,1.026630850E1
6.732378280E-1,5.176783562E0,-3.439434290E0,-6.663422108E0,9.112079371E0
6.756420990E-1,5.198330879E0,-3.324517488E0,-8.051999092E0,1.014444428E1
6.780462660E-1,5.064260960E0,-3.374793768E0,-6.388100624E0,8.822913443E0
6.804497550E-1,5.057078838E0,-3.293394327E0,-6.826220512E0,9.111409279E0
6.828541300E-1,4.966102600E0,-3.288606167E0,-6.921984673E0,9.131866039E0
6.852584010E-1,4.908644676E0,-3.283818007E0,-5.593260288E0,8.134052736E0
6.876622550E-1,4.911038876E0,-3.235936165E0,-7.065630436E0,9.193079960E0
6.900665260E-1,4.834427834E0,-3.314941406E0,-5.375397205E0,7.953327864E0
6.924709010E-1,4.946949959E0,-3.324517488E0,-6.117567539E0,8.541039926E0
6.948755880E-1,4.954132080E0,-3.393946648E0,-6.076868057E0,8.543455033E0
6.972799110E-1,4.990043640E0,-3.494498491E0,-4.970794201E0,7.862623622E0
6.996837130E-1,5.052290440E0,-3.549562931E0,-6.424012184E0,8.910273185E0
7.020880360E-1,4.982861519E0,-3.719544172E0,-4.721807957E0,7.807649335E0
7.044920470E-1,4.975678921E0,-3.755455256E0,-5.710570812E0,8.454078536E0
7.068959010E-1,4.834427834E0,-3.875160217E0,-5.552560329E0,8.319824842E0
7.092999630E-1,4.705146313E0,-3.913465977E0,-4.731384754E0,7.735607246E0
7.117037130E-1,4.568682671E0,-3.918254137E0,-6.297125340E0,8.710876211E0
7.141079840E-1,4.343636990E0,-4.014018059E0,-4.760113716E0,7.591982999E0
7.165120990E-1,4.238296509E0,-3.954165459E0,-6.064897537E0,8.389372081E0
7.189159530E-1,4.041980743E0,-4.002047539E0,-5.851822853E0,8.160748957E0
7.213205880E-1,3.946216822E0,-3.975712538E0,-5.358638287E0,7.752026940E0
7.237249630E-1,3.883970022E0,-3.915860176E0,-6.883678913E0,8.820670010E0
7.261290780E-1,3.778629780E0,-3.908677816E0,-5.282027245E0,7.579948357E0
7.285338180E-1,3.795388460E0,-3.863189936E0,-6.926773071E0,8.792576143E0
7.309385050E-1,3.759476900E0,-3.788972855E0,-6.629904747E0,8.511499210E0
